skip: baidumap-web-sdk, already converted
skip: @bandagedbd/bdapi, already converted
skip: barbellweights, already converted
skip: barcode, already converted
skip: bardjs, already converted
skip: base-64, flow-typed exists
skip: base-x, already converted
skip: base16, already converted
skip: base64-arraybuffer, already converted
skip: base64-async, already converted
skip: base64-js, already converted
skip: base64-url, already converted
skip: base64topdf, already converted
skip: bases, already converted
skip: bash-glob, already converted
skip: basic-auth, already converted
skip: basicauth-middleware, already converted
skip: batch-stream, already converted
skip: battery-level, already converted
skip: bazinga-translator, already converted
skip: bcrypt, flow-typed exists
skip: bcrypt-nodejs, already converted
skip: bcryptjs, already converted
skip: bdfjs, already converted
skip: beats, already converted
skip: bech32, already converted
skip: beeper, already converted
skip: behavior3, already converted
skip: bell, already converted
skip: bem-cn, already converted
skip: benchmark, already converted
skip: bencode, already converted
skip: better-curry, already converted
skip: better-queue, already converted
skip: better-scroll, already converted
skip: better-sqlite3, already converted
skip: bezier-easing, already converted
skip: bezier-js, already converted
skip: bgiframe, already converted
skip: bidirectional-map, already converted
skip: big.js, flow-typed exists
skip: bigi, flow-typed exists
skip: bigint, already converted
skip: bignum, already converted
skip: bigscreen, already converted
skip: bin-pack, already converted
skip: bin-version, already converted
skip: binary-parser, already converted
skip: binaryextensions, already converted
skip: bind-ponyfill, already converted
skip: bindings, already converted
skip: bintrees, already converted
skip: bip21, already converted
skip: bip32, already converted
skip: bip38, already converted
skip: bip39, already converted
skip: bit-array, already converted
skip: bitcoinjs-lib, flow-typed exists
skip: bitcore-lib, already converted
skip: bittorrent-protocol, already converted
skip: bitwise-xor, already converted
skip: bl, already converted
skip: blacklist, flow-typed exists
skip: blazy, already converted
skip: bleno, already converted
skip: blessed, already converted
skip: blissfuljs, already converted
skip: blob-stream, already converted
skip: blob-to-buffer, already converted
skip: blob-util, already converted
skip: blocked, already converted
skip: blockies, already converted
skip: blocks, already converted
skip: bloem, already converted
skip: bloom-filter, already converted
skip: bloomfilter, already converted
skip: blue-tape, already converted
skip: bluebird, flow-typed exists
skip: bluebird-global, already converted
skip: bluebird-retry, already converted
skip: blueimp-md5, already converted
skip: bn.js, already converted
skip: body-parser, flow-typed exists
skip: body-parser-xml, already converted
skip: body-scroll-lock, already converted
